Year,Continent,Country Name,Product Name,US Customs District,Value (USD),Volume (kg)
2026,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",35213,1272
2026,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",86467,3094
2026,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HONOLULU, HI",39025,712
2026,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",34912,741
2026,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HOUSTON-GALVESTON, TX",35669,1073
2026,EUROPE,FRANCE,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",47277,1416
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","BOSTON, MA",20667,935
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",1334292,54385
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",913413,33426
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SEATTLE, WA",150395,5461
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HONOLULU, HI",12991,445
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","GREAT FALLS, MT",66918,2549
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","CHICAGO, IL",180960,7176
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",85397,2827
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HOUSTON-GALVESTON, TX",188802,7700
2026,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","DALLAS-FORT WORTH, TX",72526,2707
2026,EUROPE,ITALY,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","GREAT FALLS, MT",28445,1082
2026,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",70865,6669
2026,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",13325,1206
2026,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAN FRANCISCO, CA",17655,1765
2026,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",5719,572
2026,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HOUSTON-GALVESTON, TX",14706,1250
2026,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",235805,19853
2026,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",37822,2861
2026,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SEATTLE, WA",10627,823
2026,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",38234,3023
2026,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HOUSTON-GALVESTON, TX",2082,155
2026,EUROPE,TURKEY,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",31119,1359
2026,NORTH AMERICA,MEXICO,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAN DIEGO, CA",6190774,339778
2026,OCEANIA,NEW ZEALAND,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",4433,403
2026,EUROPE,SPAIN,TUNA BLUEFIN SOUTHERN FRESH,"CHICAGO, IL",3366,153
2026,ASIA,SOUTH KOREA,TUNA BLUEFIN ATLANTIC FROZEN,"LOS ANGELES, CA",67974,1309
2026,EUROPE,CROATIA,TUNA BLUEFIN ATLANTIC FROZEN,"NEW YORK, NY",3851,275
2026,ASIA,JAPAN,TUNA BLUEFIN PACIFIC FROZEN,"HONOLULU, HI",3831,64
2026,EUROPE,TURKEY,TUNA BLUEFIN PACIFIC FROZEN,"HONOLULU, HI",40166,860
2026,ASIA,INDONESIA,TUNA BLUEFIN SOUTHERN FROZEN,"LOS ANGELES, CA",26890,1520
2025,AFRICA,MOROCCO,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",875456,35525
2025,AFRICA,MOROCCO,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",175319,6447
2025,AFRICA,MOROCCO,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SEATTLE, WA",69714,2556
2025,AFRICA,MOROCCO,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","CHICAGO, IL",44594,1884
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","BOSTON, MA",7587,244
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",194272,6095
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAVANNAH, GA",9384,333
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",919073,27642
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAN FRANCISCO, CA",19245,330
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SEATTLE, WA",36294,1320
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HONOLULU, HI",660385,13272
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","GREAT FALLS, MT",19353,564
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",213299,3911
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HOUSTON-GALVESTON, TX",148588,4898
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","WASHINGTON, DC",2010,72
2025,ASIA,JAPAN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","DALLAS-FORT WORTH, TX",102204,1604
2025,EUROPE,NORWAY,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","BOSTON, MA",36516,2760
2025,EUROPE,FRANCE,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",186219,5593
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","BOSTON, MA",251148,10875
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",20735480,777093
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAVANNAH, GA",25470,765
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",11358271,397056
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAN FRANCISCO, CA",702211,24109
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SEATTLE, WA",2195314,75919
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HONOLULU, HI",134219,4361
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","GREAT FALLS, MT",71586,2650
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","CHICAGO, IL",2012539,72055
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",1885764,58273
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HOUSTON-GALVESTON, TX",2095049,71704
2025,EUROPE,SPAIN,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","DALLAS-FORT WORTH, TX",758526,25894
2025,EUROPE,ITALY,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","GREAT FALLS, MT",75999,2898
2025,EUROPE,ITALY,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",95103,2904
2025,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",1253938,68569
2025,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",521597,29818
2025,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SEATTLE, WA",157439,8994
2025,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",25136,1438
2025,EUROPE,CROATIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HOUSTON-GALVESTON, TX",266370,15593
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",2275661,136008
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","TAMPA, FL",6415,577
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",563787,33592
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAN FRANCISCO, CA",10563,979
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SEATTLE, WA",58971,4687
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","CHICAGO, IL",51941,4278
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","MIAMI, FL",212581,15125
2025,EUROPE,ALBANIA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","DALLAS-FORT WORTH, TX",46199,3386
2025,EUROPE,GREECE,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",13552,4431
2025,NORTH AMERICA,CANADA,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","PORTLAND, ME",1393783,87487
2025,NORTH AMERICA,MEXICO,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LAREDO, TX",75247,8445
2025,NORTH AMERICA,MEXICO,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","SAN DIEGO, CA",79143166,4342082
2025,OCEANIA,NEW ZEALAND,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","NEW YORK, NY",14006,1315
2025,OCEANIA,NEW ZEALAND,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","LOS ANGELES, CA",66809,4777
2025,OCEANIA,NEW ZEALAND,"TUNA BLUEFIN ATLANTIC,PACIFIC FRESH","HONOLULU, HI",5817,731
2025,AFRICA,SOUTH AFRICA,TUNA BLUEFIN SOUTHERN FRESH,"NEW YORK, NY",214425,29405
