Year,Continent,Country Name,Product Name,Edible code,US Customs District,Census Country Code,Census District Code,FAO Country Code,HTS Number,Value (USD),Volume (kg),Calculated Duty (USD)
2026,NORTH AMERICA,CANADA,SALMON FARMED,E,"BUFFALO, NY",1220,09,124,0302130013,29021,1836,0
2026,NORTH AMERICA,CANADA,SALMON FARMED,E,"SEATTLE, WA",1220,30,124,0302130013,2145067,112804,0
2026,OCEANIA,NEW ZEALAND,SALMON FARMED,E,"NEW YORK, NY",6141,10,554,0302130013,592978,36853,"88,946"
2026,OCEANIA,NEW ZEALAND,SALMON FARMED,E,"LOS ANGELES, CA",6141,27,554,0302130013,1963164,128328,"294,477"
2026,OCEANIA,NEW ZEALAND,SALMON FARMED,E,"SAN FRANCISCO, CA",6141,28,554,0302130013,115265,7184,"17,289"
2026,OCEANIA,NEW ZEALAND,SALMON FARMED,E,"SEATTLE, WA",6141,30,554,0302130013,31214,1305,"4,681"
2026,OCEANIA,NEW ZEALAND,SALMON FARMED,E,"HONOLULU, HI",6141,32,554,0302130013,148462,10709,"22,271"
2026,OCEANIA,NEW ZEALAND,SALMON FARMED,E,"HOUSTON-GALVESTON, TX",6141,53,554,0302130013,273888,18408,"41,083"
2026,SOUTH AMERICA,CHILE,SALMON FARMED,E,"NEW YORK, NY",3370,10,152,0302130013,18241,1040,"1,824"
2026,SOUTH AMERICA,CHILE,SALMON FARMED,E,"BALTIMORE, MD",3370,13,152,0302130013,5043,305,504
2026,SOUTH AMERICA,CHILE,SALMON FARMED,E,"LOS ANGELES, CA",3370,27,152,0302130013,23316,1234,"2,331"
2026,SOUTH AMERICA,CHILE,SALMON FARMED,E,"MIAMI, FL",3370,52,152,0302130013,46637,2516,"4,664"
2026,NORTH AMERICA,CANADA,SALMON WILD,E,"SEATTLE, WA",1220,30,124,0302130014,10595,337,0
2026,SOUTH AMERICA,CHILE,SALMON WILD,E,"NEW YORK, NY",3370,10,152,0302130014,34747,2139,0
2026,SOUTH AMERICA,CHILE,SALMON WILD,E,"SAVANNAH, GA",3370,17,152,0302130014,151194,6689,0
