Year,Continent,Country Name,Product Name,US Customs District,Value (USD),Volume (kg)
2026,Africa,Seychelles,Tuna Yellowfin Fresh,"Boston, MA",52068,6173
2026,Africa,Seychelles,Tuna Yellowfin Fresh,"New York, NY",144340,15095
2026,Africa,Seychelles,Tuna Yellowfin Fresh,"Los Angeles, CA",25939,4714
2026,Africa,Seychelles,Tuna Yellowfin Fresh,"San Francisco, CA",23182,2623
2026,Africa,Seychelles,Tuna Yellowfin Fresh,"Chicago, IL",61077,5654
2026,Africa,Seychelles,Tuna Yellowfin Fresh,"Miami, FL",60037,5596
2026,Africa,Seychelles,Tuna Yellowfin Fresh,"Washington, DC",4849,588
2026,Africa,South Africa,Tuna Yellowfin Fresh,"New York, NY",49538,5335
2026,Africa,South Africa,Tuna Yellowfin Fresh,"Los Angeles, CA",102089,11364
2026,Africa,South Africa,Tuna Yellowfin Fresh,"San Francisco, CA",12843,1592
2026,Africa,South Africa,Tuna Yellowfin Fresh,"Chicago, IL",22576,1820
2026,Asia,Oman,Tuna Yellowfin Fresh,"Seattle, WA",28946,3003
2026,Asia,Sri Lanka,Tuna Yellowfin Fresh,"Boston, MA",83215,8334
2026,Asia,Sri Lanka,Tuna Yellowfin Fresh,"New York, NY",94762,14336
2026,Asia,Sri Lanka,Tuna Yellowfin Fresh,"Los Angeles, CA",66306,5061
2026,Asia,Sri Lanka,Tuna Yellowfin Fresh,"Chicago, IL",14064,1348
2026,Asia,Sri Lanka,Tuna Yellowfin Fresh,"Miami, FL",113816,11135
2026,Asia,Sri Lanka,Tuna Yellowfin Fresh,"Washington, DC",4770,589
2026,Asia,Indonesia,Tuna Yellowfin Fresh,"Boston, MA",3297,2198
2026,Asia,Indonesia,Tuna Yellowfin Fresh,"New York, NY",13950,6302
2026,Asia,Indonesia,Tuna Yellowfin Fresh,"Los Angeles, CA",3636,455
2026,Asia,Indonesia,Tuna Yellowfin Fresh,"San Francisco, CA",4477,509
2026,Asia,Philippines,Tuna Yellowfin Fresh,"Los Angeles, CA",13623,907
2026,Asia,Philippines,Tuna Yellowfin Fresh,"San Francisco, CA",58839,5541
2026,Asia,Philippines,Tuna Yellowfin Fresh,"Seattle, WA",12984,750
2026,Asia,Maldive Is.,Tuna Yellowfin Fresh,"New York, NY",57780,5834
2026,Asia,Maldive Is.,Tuna Yellowfin Fresh,"Los Angeles, CA",32818,3295
2026,Asia,Maldive Is.,Tuna Yellowfin Fresh,"San Francisco, CA",46892,5927
2026,Asia,Maldive Is.,Tuna Yellowfin Fresh,"Chicago, IL",25660,2681
2026,Asia,Maldive Is.,Tuna Yellowfin Fresh,"Washington, DC",5143,527
2026,Asia,China,Tuna Yellowfin Fresh,"Honolulu, HI",67578,8759
2026,Caribbean,Dominican Republic,Tuna Yellowfin Fresh,"Miami, FL",6170,621
2026,Caribbean,Barbados,Tuna Yellowfin Fresh,"Miami, FL",26497,2306
2026,Caribbean,Trinidad & Tobago,Tuna Yellowfin Fresh,"Miami, FL",457888,50327
2026,Central America,Belize,Tuna Yellowfin Fresh,"Miami, FL",65916,11346
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Boston, MA",8208,1489
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"New York, NY",55570,9650
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Philadelphia, PA",2336,424
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Savannah, GA",3028,280
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Los Angeles, CA",177955,11065
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"San Francisco, CA",37015,3068
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Seattle, WA",46020,3618
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Chicago, IL",7785,1412
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Miami, FL",2251669,152948
2026,Central America,Costa Rica,Tuna Yellowfin Fresh,"Dallas-Fort Worth, TX",49255,2518
2026,Central America,Panama,Tuna Yellowfin Fresh,"Boston, MA",12935,3023
2026,Central America,Panama,Tuna Yellowfin Fresh,"New York, NY",33889,4266
2026,Central America,Panama,Tuna Yellowfin Fresh,"New Orleans, LA",18725,2261
2026,Central America,Panama,Tuna Yellowfin Fresh,"San Diego, CA",14060,1814
2026,Central America,Panama,Tuna Yellowfin Fresh,"Los Angeles, CA",254172,25078
2026,Central America,Panama,Tuna Yellowfin Fresh,"San Francisco, CA",92028,6353
2026,Central America,Panama,Tuna Yellowfin Fresh,"Seattle, WA",20495,3582
2026,Central America,Panama,Tuna Yellowfin Fresh,"Miami, FL",2873455,306052
2026,Europe,Spain,Tuna Yellowfin Fresh,"Miami, FL",2008,106
2026,North America,Mexico,Tuna Yellowfin Fresh,"Laredo, TX",101031,10300
2026,North America,Mexico,Tuna Yellowfin Fresh,"San Diego, CA",83065,8036
2026,Oceania,Australia,Tuna Yellowfin Fresh,"Los Angeles, CA",33710,3774
2026,Oceania,Australia,Tuna Yellowfin Fresh,"San Francisco, CA",17500,1243
2026,Oceania,New Zealand,Tuna Yellowfin Fresh,"Los Angeles, CA",3400,400
2026,Oceania,New Zealand,Tuna Yellowfin Fresh,"Honolulu, HI",2691,258
2026,Oceania,French Polynesia,Tuna Yellowfin Fresh,"Los Angeles, CA",247470,30617
2026,Oceania,French Polynesia,Tuna Yellowfin Fresh,"Seattle, WA",5079,827
2026,Oceania,French Polynesia,Tuna Yellowfin Fresh,"Honolulu, HI",2630,528
2026,Oceania,Marshall Is.,Tuna Yellowfin Fresh,"Honolulu, HI",61684,7995
2026,Oceania,Fiji,Tuna Yellowfin Fresh,"Los Angeles, CA",179236,32004
2026,Oceania,Tonga,Tuna Yellowfin Fresh,"Los Angeles, CA",39478,7598
2026,South America,Suriname,Tuna Yellowfin Fresh,"Miami, FL",445381,72542
2026,South America,Ecuador,Tuna Yellowfin Fresh,"Boston, MA",3165,574
2026,South America,Ecuador,Tuna Yellowfin Fresh,"Los Angeles, CA",46807,4064
2026,South America,Ecuador,Tuna Yellowfin Fresh,"Miami, FL",73908,10208
2026,South America,Brazil,Tuna Yellowfin Fresh,"Boston, MA",4854,881
2026,South America,Brazil,Tuna Yellowfin Fresh,"New York, NY",11466,2188
2026,South America,Brazil,Tuna Yellowfin Fresh,"Los Angeles, CA",2100,381
2026,South America,Brazil,Tuna Yellowfin Fresh,"Miami, FL",72627,9310
2026,Africa,Seychelles,Tuna Bigeye Fresh,"New York, NY",2159,211
2026,Africa,Seychelles,Tuna Bigeye Fresh,"Chicago, IL",2486,192
2026,Africa,Seychelles,Tuna Bigeye Fresh,"Miami, FL",5832,559
2026,Africa,South Africa,Tuna Bigeye Fresh,"New York, NY",46289,4672
2026,Africa,South Africa,Tuna Bigeye Fresh,"Los Angeles, CA",70049,6799
2026,Africa,South Africa,Tuna Bigeye Fresh,"Chicago, IL",18015,1270
2026,Asia,Indonesia,Tuna Bigeye Fresh,"New York, NY",66757,26864
2026,Asia,Indonesia,Tuna Bigeye Fresh,"San Francisco, CA",11760,1248
2026,Asia,China,Tuna Bigeye Fresh,"Honolulu, HI",332733,42454
2026,Asia,Japan,Tuna Bigeye Fresh,"Los Angeles, CA",10635,613
2026,Caribbean,Trinidad & Tobago,Tuna Bigeye Fresh,"Miami, FL",6562,106
2026,Central America,Belize,Tuna Bigeye Fresh,"Miami, FL",11257,850
2026,Oceania,New Zealand,Tuna Bigeye Fresh,"New York, NY",11627,1057
2026,Oceania,New Zealand,Tuna Bigeye Fresh,"Los Angeles, CA",25344,2304
2026,Oceania,New Zealand,Tuna Bigeye Fresh,"Honolulu, HI",4538,406
2026,Oceania,French Polynesia,Tuna Bigeye Fresh,"Los Angeles, CA",140207,14886
2026,Oceania,Marshall Is.,Tuna Bigeye Fresh,"Honolulu, HI",138843,17986
2026,Oceania,Fiji,Tuna Bigeye Fresh,"Los Angeles, CA",14803,2968
2026,South America,Suriname,Tuna Bigeye Fresh,"Miami, FL",89645,14485
2026,South America,Brazil,Tuna Bigeye Fresh,"New York, NY",122154,24138
2026,South America,Brazil,Tuna Bigeye Fresh,"Los Angeles, CA",86575,15058
2026,South America,Brazil,Tuna Bigeye Fresh,"Miami, FL",227180,34052
2026,Asia,Japan,Tuna Bluefin Fresh,"New York, NY",35213,1272
2026,Asia,Japan,Tuna Bluefin Fresh,"Los Angeles, CA",86467,3094
2026,Asia,Japan,Tuna Bluefin Fresh,"Honolulu, HI",39025,712
2026,Asia,Japan,Tuna Bluefin Fresh,"Miami, FL",34912,741
2026,Asia,Japan,Tuna Bluefin Fresh,"Houston-Galveston, TX",35669,1073
2026,Europe,France,Tuna Bluefin Fresh,"Miami, FL",47277,1416
2026,Europe,Spain,Tuna Bluefin Fresh,"Boston, MA",20667,935
2026,Europe,Spain,Tuna Bluefin Fresh,"New York, NY",1334292,54385
2026,Europe,Spain,Tuna Bluefin Fresh,"Los Angeles, CA",913413,33426
2026,Europe,Spain,Tuna Bluefin Fresh,"Seattle, WA",150395,5461
2026,Europe,Spain,Tuna Bluefin Fresh,"Honolulu, HI",12991,445
2026,Europe,Spain,Tuna Bluefin Fresh,"Great Falls, MT",66918,2549
2026,Europe,Spain,Tuna Bluefin Fresh,"Chicago, IL",180960,7176
2026,Europe,Spain,Tuna Bluefin Fresh,"Miami, FL",85397,2827
2026,Europe,Spain,Tuna Bluefin Fresh,"Houston-Galveston, TX",188802,7700
2026,Europe,Spain,Tuna Bluefin Fresh,"Dallas-Fort Worth, TX",72526,2707
2026,Europe,Italy,Tuna Bluefin Fresh,"Great Falls, MT",28445,1082
2026,Europe,Croatia,Tuna Bluefin Fresh,"New York, NY",70865,6669
2026,Europe,Croatia,Tuna Bluefin Fresh,"Los Angeles, CA",13325,1206
2026,Europe,Croatia,Tuna Bluefin Fresh,"San Francisco, CA",17655,1765
2026,Europe,Croatia,Tuna Bluefin Fresh,"Miami, FL",5719,572
2026,Europe,Croatia,Tuna Bluefin Fresh,"Houston-Galveston, TX",14706,1250
2026,Europe,Albania,Tuna Bluefin Fresh,"New York, NY",235805,19853
2026,Europe,Albania,Tuna Bluefin Fresh,"Los Angeles, CA",37822,2861
2026,Europe,Albania,Tuna Bluefin Fresh,"Seattle, WA",10627,823
2026,Europe,Albania,Tuna Bluefin Fresh,"Miami, FL",38234,3023
