year,month,week,origin,volume_tonnes,price_high,price_mid,price_low,approx_fish_count,week_number,week_id
2004,1,1,各地,49.2,27300.0,6009.0,2100,197,1,2004-01-1
2004,1,2,各地,35.8,8400.0,5384.0,2625,143,2,2004-01-2
2004,1,3,各地,30.0,11550.0,5345.0,2100,120,3,2004-01-3
2004,1,4,各地,35.6,26250.0,5193.0,1575,142,4,2004-01-4
2004,2,1,各地,32.0,21000.0,6002.0,1365,128,5,2004-02-1
2004,2,2,各地,37.8,27300.0,5690.0,2100,151,6,2004-02-2
2004,2,3,各地,31.3,24150.0,5661.0,1575,125,7,2004-02-3
2004,2,4,各地,32.9,17850.0,5069.0,1575,132,8,2004-02-4
2004,3,1,各地,34.7,27300.0,4416.0,2100,139,9,2004-03-1
2004,3,2,各地,38.7,18900.0,4701.0,1575,155,10,2004-03-2
2004,3,3,各地,37.1,18375.0,5925.0,1575,148,11,2004-03-3
2004,3,4,各地,41.2,14700.0,4471.0,1575,165,12,2004-03-4
2004,4,1,各地,33.3,16800.0,6355.0,1575,133,13,2004-04-1
2004,4,2,各地,31.4,13650.0,5584.0,1575,126,14,2004-04-2
2004,4,3,各地,36.0,10500.0,4523.0,1365,144,15,2004-04-3
2004,4,4,各地,36.5,8925.0,4001.0,1050,146,16,2004-04-4
2004,4,5,各地,37.6,9975.0,4297.0,735,150,17,2004-04-5
2004,5,1,各地,38.5,10500.0,4152.0,1365,154,18,2004-05-1
2004,5,2,各地,42.6,12600.0,4180.0,2100,170,19,2004-05-2
2004,5,3,各地,39.7,7875.0,3447.0,1050,159,20,2004-05-3
2004,5,4,各地,42.2,7875.0,2949.0,1365,169,21,2004-05-4
2004,6,1,各地,35.2,7665.0,2617.0,1365,141,22,2004-06-1
2004,6,2,各地,39.2,9450.0,2504.0,1260,157,23,2004-06-2
2004,6,3,各地,34.0,6300.0,2490.0,1365,136,24,2004-06-3
2004,6,4,各地,35.2,13650.0,2908.0,1050,141,25,2004-06-4
2004,7,1,各地,33.4,15750.0,2379.0,1050,134,26,2004-07-1
2004,7,2,各地,48.0,8610.0,1884.0,1050,192,27,2004-07-2
2004,7,3,各地,53.6,12600.0,1450.0,630,214,28,2004-07-3
2004,7,4,各地,52.8,11550.0,2093.0,420,211,29,2004-07-4
2004,7,5,各地,44.2,11550.0,3134.0,1050,177,30,2004-07-5
2004,8,1,各地,38.3,11550.0,3243.0,1470,153,31,2004-08-1
2004,8,2,各地,55.0,6615.0,2774.0,945,220,32,2004-08-2
2004,8,3,各地,43.7,9975.0,2640.0,525,175,33,2004-08-3
2004,8,4,各地,34.1,11550.0,3188.0,1365,136,34,2004-08-4
2004,9,1,各地,30.3,9450.0,4180.0,1785,121,35,2004-09-1
2004,9,2,各地,37.1,11550.0,3556.0,1365,148,36,2004-09-2
2004,9,3,各地,36.4,11550.0,3582.0,1785,146,37,2004-09-3
2004,9,4,各地,46.3,11550.0,3650.0,1680,185,38,2004-09-4
2004,9,5,各地,43.3,8925.0,3758.0,2100,173,39,2004-09-5
2004,10,1,各地,42.5,6300.0,3415.0,1365,170,40,2004-10-1
2004,10,2,各地,40.0,10500.0,4060.0,1575,160,41,2004-10-2
2004,10,3,各地,38.1,9450.0,3864.0,1575,152,42,2004-10-3
2004,10,4,各地,40.9,10500.0,3746.0,1575,164,43,2004-10-4
2004,11,1,各地,43.6,11550.0,4009.0,1890,174,44,2004-11-1
2004,11,2,各地,46.9,10500.0,3608.0,1155,188,45,2004-11-2
2004,11,3,各地,37.9,8925.0,4641.0,1575,152,46,2004-11-3
2004,11,4,各地,41.4,9765.0,4347.0,1575,166,47,2004-11-4
