FID,the_geom,CWP_CODE,GRIDTYPE,QUADRANT,X_COORD,Y_COORD,CWP_A,CWP_B,CWP_C,CWP_D,CWP_E,SURFACE,ON_SEA,ON_LAND,ON_LAND_P,ON_SEA_P
cwp-grid-map-5deg_x_5deg.1,"MULTIPOLYGON (((5 0, 5 5, 0 5, 0 0, 5 0)))",6100000,5deg_x_5deg,NE,2.5,2.5,6,1,00,000,,309329291015.2637,309329291015.2637,0,0,100
cwp-grid-map-5deg_x_5deg.2,"MULTIPOLYGON (((5 5, 5 10, 0 10, 0 5, 5 5)))",6100005,5deg_x_5deg,NE,7.5,2.5,6,1,00,005,,309329291015.2637,253900126211.8893,55429164803.3746,17.92,82.08
cwp-grid-map-5deg_x_5deg.3,"MULTIPOLYGON (((5 10, 5 15, 0 15, 0 10, 5 10)))",6100010,5deg_x_5deg,NE,12.5,2.5,6,1,00,010,,309329291015.2637,0,309329291015.2636,100,0
cwp-grid-map-5deg_x_5deg.4,"MULTIPOLYGON (((5 15, 5 20, 0 20, 0 15, 5 15)))",6100015,5deg_x_5deg,NE,17.5,2.5,6,1,00,015,,309329291015.2638,0,309329291015.2636,100,0
cwp-grid-map-5deg_x_5deg.5,"MULTIPOLYGON (((5 20, 5 25, 0 25, 0 20, 5 20)))",6100020,5deg_x_5deg,NE,22.5,2.5,6,1,00,020,,309329291015.2635,0,309329291015.2635,100,0
cwp-grid-map-5deg_x_5deg.6,"MULTIPOLYGON (((5 25, 5 30, 0 30, 0 25, 5 25)))",6100025,5deg_x_5deg,NE,27.5,2.5,6,1,00,025,,309329291015.2638,0,309329291015.2638,100,0
cwp-grid-map-5deg_x_5deg.7,"MULTIPOLYGON (((5 30, 5 35, 0 35, 0 30, 5 30)))",6100030,5deg_x_5deg,NE,32.5,2.5,6,1,00,030,,309329291015.2635,0,309329291015.2635,100,0
cwp-grid-map-5deg_x_5deg.8,"MULTIPOLYGON (((5 35, 5 40, 0 40, 0 35, 5 35)))",6100035,5deg_x_5deg,NE,37.5,2.5,6,1,00,035,,309329291015.2639,0,309329291015.2638,100,0
cwp-grid-map-5deg_x_5deg.9,"MULTIPOLYGON (((5 40, 5 45, 0 45, 0 40, 5 40)))",6100040,5deg_x_5deg,NE,42.5,2.5,6,1,00,040,,309329291015.2644,26370644640.7271,283451443236.2619,91.63,8.53
cwp-grid-map-5deg_x_5deg.10,"MULTIPOLYGON (((5 45, 5 50, 0 50, 0 45, 5 45)))",6100045,5deg_x_5deg,NE,47.5,2.5,6,1,00,045,,309329291015.2625,233722041707.2117,75114452446.3284,24.28,75.56
cwp-grid-map-5deg_x_5deg.11,"MULTIPOLYGON (((5 50, 5 55, 0 55, 0 50, 5 50)))",6100050,5deg_x_5deg,NE,52.5,2.5,6,1,00,050,,309329291015.2637,309329291015.2639,0,0,100
cwp-grid-map-5deg_x_5deg.12,"MULTIPOLYGON (((5 55, 5 60, 0 60, 0 55, 5 55)))",6100055,5deg_x_5deg,NE,57.5,2.5,6,1,00,055,,309329291015.2639,309329291015.2637,0,0,100
cwp-grid-map-5deg_x_5deg.13,"MULTIPOLYGON (((5 60, 5 65, 0 65, 0 60, 5 60)))",6100060,5deg_x_5deg,NE,62.5,2.5,6,1,00,060,,309329291015.2646,309329291015.2644,0,0,100
