ICCAT Serial Number,Country,Reg.Number,Name of FFB,Location,Capacity (t),cleaned_locations
AT001DZA00001,Algeria,DZA FARM 01-24,SOUFI TUNA,HUNAIN Tlemcen HUNAIN Tlemcen A: 35°11'16.46''N 1°42'53.22''O B: 35°11'3.51''N 1°42'41.65''O C: 35°11'32.31''N 1°42'29.20''O D: 35°11'19.31''N 1°42'17.97''O,950.0,"[{""lat"": 35.187906, ""lon"": -1.714783}, {""lat"": 35.184308, ""lon"": -1.711569}, {""lat"": 35.192308, ""lon"": -1.708111}, {""lat"": 35.188697, ""lon"": -1.704992}]"
ATEU1HRV00012,Croatia,220,KALI TUNA D.O.O.,MRÐINA LAVDARA: FIELD 3 and FIELD 4; ZVERINAC: FIELD A and FIELD B FULIJA I KUDICA,1516.9,"[""MR\u00d0INA LAVDARA: FIELD 3 and FIELD 4; ZVERINAC: FIELD A and FIELD B FULIJA I KUDICA""]"
ATEU1HRV00011,Croatia,138,PELAGOS NET FARMA D.O.O.,"N 4866849.37, 4866572.13, 4866813.19, 4867090.43, 4866779.47, 4866538.41 E 400922.29, 401608.4, 401705.8, 401019.7, 401789.25, 401691.84",1827.0,"[{""lat"": 43.9481, ""lon"": 13.765298}, {""lat"": 43.945696, ""lon"": 13.773897}, {""lat"": 43.947879, ""lon"": 13.775066}, {""lat"": 43.950283, ""lon"": 13.766466}, {""lat"": 43.947587, ""lon"": 13.776112}, {""lat"": 43.945404, ""lon"": 13.774943}]"
ATEU1HRV00006,Croatia,86,SARDINA D.O.O.,"N 4794270.00, 4794448.06, 4794112.87, 4793934.81 E 498240.35, 498429.80, 498744.84, 498555.39",1854.9,"[{""lat"": 43.301257, ""lon"": 14.978305}, {""lat"": 43.302861, ""lon"": 14.98064}, {""lat"": 43.299843, ""lon"": 14.984525}, {""lat"": 43.29824, ""lon"": 14.98219}]"
ATEU1HRV00008,Croatia,139,JADRAN TUNA d.o.o,NE OD OTOKA GIRA: FIELD GIRA 1 AND FIELD GIRA 2,1893.04,"[""NE OD OTOKA GIRA: FIELD GIRA 1 AND FIELD GIRA 2""]"
ATEU1CYP00002,Cyprus,014,Kitiana Fisheries Ltd.,"SOUTH COAST OF CYPRUS (VASILIKO). COORDINATES 33° 14' 95"" E; 34° 41' 09"" N.",0.0,"[{""lat"": 34.685833, ""lon"": 33.259722}]"
ATEU1CYP00003,Cyprus,015,Oceanis Aquaculture Ltd,"SOUTH COAST OF CYPRUS (VASILIKO). COORDINATES 33° 16' 03"" E; 34° 40' 79"" N.",0.0,"[{""lat"": 34.688611, ""lon"": 33.2675}]"
ATEU1CYP00001,Cyprus,07,KIMAGRO FISHFARMING LTD,"SOUTH COAST OF CYPRUS, (LIMASSOL). COORDINATES: 33° 02´ 40"" E 34° 38´ 49"" N",0.0,"[{""lat"": 34.646944, ""lon"": 33.044444}]"
ATEU1ESP00001,Spain,ICAR 01,TUNA GRASO,"LATITUD: N 37º45,95' LONGITUD: W 00º39,49'",2100.0,"[{""lat"": 37.765833, ""lon"": -0.658167}]"
ATEU1ESP00002,Spain,ICAR 02,ATUNES DE MAZARRON,A:37º47'36.47''N 00º40'55.56''W B:37º47'36.55''N 01º22'45.30''W C:37º30'15.90''N 01º23'03.02''W D:37º30'24.94''N 01º23'19.63''W,0.0,"[{""lat"": 37.793464, ""lon"": -0.6821}, {""lat"": 37.793486, ""lon"": -1.37925}, {""lat"": 37.504417, ""lon"": -1.384172}, {""lat"": 37.506928, ""lon"": -1.388786}]"
ATEU1ESP00003,Spain,ICAR 03,CALADEROS DEL MEDITERRANEO,A:37º34'30.40''N 00º49'95.30''W B:37º34'06.60''N 00º50'11.40''W. C:67º34'25.80''N 00º50'56.20''W D:37º34'49.60''N 00º50'40.10''W,1925.0,"[{""lat"": 37.575111, ""lon"": -0.843139}, {""lat"": 37.5685, ""lon"": -0.8365}, {""lat"": 67.573833, ""lon"": -0.848944}, {""lat"": 37.580444, ""lon"": -0.844472}]"
